BioWare Version 5.3.0.7 Export
Device:	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA
Samples (#):	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	5998	5998	5998	5998	5998	5999	5999	5999	5999	5999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	29.990000	29.990000	29.990000	29.990000	29.990000	29.995001	29.995001	29.995001	29.995001	29.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Nov 11, 2022  11:19:19
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Ax	Ay	Fx	Fy	Fz	Ax	Ay
	N	N	N	m	m	N	N	N	m	m
0.000000	0.053416	0.188392	0.552567	0.198813	-0.334143	4.353922	-1.443710	548.547989	-0.004925	-0.025830
0.005000	-0.101808	-0.044646	-2.223340	0.000000	0.000000	5.365313	-0.582214	554.739876	-0.004904	-0.024892
0.010000	0.131506	0.265966	1.246545	0.086918	0.003611	5.676638	-0.738674	554.052147	-0.004923	-0.024575
0.015000	-0.024037	0.266283	-0.141804	0.000000	0.000000	5.365313	-0.973606	548.897476	-0.004413	-0.025659
0.020000	-0.335760	-0.122221	-3.612873	0.000000	0.000000	4.742662	-1.365723	547.521637	-0.004401	-0.025708
0.025000	1.612351	1.354852	13.741292	-0.020975	-0.015438	6.688307	0.514698	563.687286	-0.004442	-0.024202
0.030000	0.131506	0.111135	2.286920	-0.085430	-0.038623	4.742662	-1.051838	547.868416	-0.004068	-0.026222
0.035000	-1.349020	-1.132898	-8.819478	0.000000	0.000000	2.952400	-2.461906	536.861679	-0.004089	-0.026704
0.040000	-0.024037	0.265966	1.246545	0.089663	0.003611	4.586998	-0.894894	549.242706	-0.004270	-0.025130
0.045000	1.612669	1.432109	14.782850	-0.015369	0.004910	4.509027	-0.659962	549.930435	-0.004260	-0.025452
0.050000	0.833361	0.888141	6.453150	0.005035	0.013288	3.575331	-0.973122	543.742821	-0.003835	-0.026426
0.055000	2.002164	1.743038	18.254709	-0.012908	0.003590	4.820633	0.280491	555.777084	-0.004330	-0.024709
0.060000	0.443548	0.421431	4.370430	-0.018423	0.021944	3.808964	-0.502777	546.835854	-0.004149	-0.025775
0.065000	1.223175	1.199070	12.699733	-0.026827	-0.038988	4.586998	0.359203	557.153320	-0.004309	-0.024311
0.070000	-0.024037	0.188392	0.552174	-0.017650	0.010848	3.964350	-0.189133	549.928879	-0.004457	-0.024782
0.075000	-0.336078	-0.122537	0.205777	0.280587	-0.400573	3.108341	-0.658997	545.799416	-0.004681	-0.024604
0.080000	0.755590	0.576895	5.065591	-0.017250	0.018258	3.730993	0.124752	551.651886	-0.004105	-0.024203
0.085000	-0.803982	-0.666821	-5.001222	0.000000	0.000000	1.940733	-1.128620	537.892700	-0.004151	-0.026180
0.090000	0.209597	0.033245	1.941706	-0.007738	-0.093500	3.108620	0.125237	547.523575	-0.004115	-0.025769
0.095000	-2.128328	-1.599609	-19.230318	0.000000	0.000000	1.551992	-1.441540	533.766708	-0.003946	-0.027080
0.100000	-0.102127	-0.122537	-0.142987	0.000000	0.000000	2.953236	-0.188168	542.022537	-0.003934	-0.026017
0.105000	0.443548	0.499321	5.064801	-0.015924	-0.019104	3.498194	-0.031464	547.523956	-0.004131	-0.025071
0.110000	0.365777	0.265966	4.369640	-0.045907	-0.064718	3.031485	-0.658268	540.991913	-0.003835	-0.025524
0.115000	1.456808	1.354218	11.659755	-0.014004	-0.001779	3.965460	0.203709	545.807182	-0.003834	-0.025334
0.120000	-0.491622	-0.433783	-4.653641	0.000000	0.000000	2.175478	-1.519768	531.362175	-0.003652	-0.027377
0.125000	-1.036978	-0.822603	-9.859456	0.000000	0.000000	2.331696	-1.676708	531.016960	-0.003775	-0.027567
0.130000	-0.101808	-0.122537	-0.834202	0.000000	0.000000	3.732382	-0.893444	543.051224	-0.004290	-0.025418
0.135000	-1.036978	-0.744712	-6.737151	0.000000	0.000000	3.421057	-1.284836	541.675385	-0.004289	-0.025815
0.140000	0.209597	0.188392	1.941706	-0.007738	-0.095257	4.121401	-0.658268	548.897873	-0.004363	-0.024982
0.145000	0.443866	0.343857	5.758779	-0.035095	-0.016265	4.121401	-0.814972	548.554581	-0.004257	-0.025166
0.150000	-0.024037	0.188392	1.940916	-0.005164	-0.193679	3.187426	-1.363308	542.017899	-0.004388	-0.026320
0.155000	0.988905	0.732994	10.619380	-0.008718	-0.027608	4.043430	-0.736740	550.618164	-0.004236	-0.025760
0.160000	0.209597	0.266283	0.205777	0.222248	-0.442142	3.109177	-1.363789	545.114388	-0.004247	-0.026344
0.165000	0.599728	0.343857	5.065591	-0.040588	-0.018469	3.654133	-1.207329	550.275269	-0.004114	-0.025929
0.170000	0.131506	0.343857	0.899754	0.052968	0.109091	3.264839	-1.442505	547.521240	-0.004342	-0.026051
0.175000	1.612669	1.276961	12.700523	-0.017911	-0.009034	3.887211	-0.658997	551.993614	-0.004218	-0.026043
0.180000	-0.257988	0.032611	-1.876943	0.000000	0.000000	2.252892	-2.069550	538.925255	-0.004043	-0.026968
0.185000	0.911133	0.654786	6.800731	-0.004418	-0.000692	3.264561	-0.894650	547.521240	-0.004342	-0.026073
0.190000	0.755271	0.654786	6.105569	-0.004359	-0.000770	2.797573	-0.973122	543.393341	-0.004360	-0.026965
0.195000	0.599410	0.421431	5.064801	-0.016601	-0.018766	3.653580	-0.111385	550.616226	-0.004439	-0.025442
0.200000	-0.569393	-0.511357	-7.429945	0.000000	0.000000	2.719324	-0.973366	548.548393	-0.004859	-0.025159
0.205000	-0.413850	-0.511357	-2.917712	0.000000	0.000000	2.485691	-1.051594	548.548393	-0.004850	-0.025499
0.210000	0.209597	0.266283	0.898964	0.186276	0.111326	2.719324	-0.738434	550.269058	-0.004733	-0.025604
0.215000	-1.037297	-0.900177	-6.042780	0.000000	0.000000	1.318081	-1.913815	540.294899	-0.004662	-0.026556
0.220000	-0.101808	0.110501	0.205777	0.255541	-0.425487	2.485691	-0.425270	553.018806	-0.004915	-0.025147
0.225000	-0.881753	-0.899860	-6.041990	0.000000	0.000000	0.695154	-1.756870	540.639725	-0.004522	-0.026721
0.230000	-0.413850	-0.433466	-3.612873	0.000000	0.000000	1.473745	-1.209019	547.519302	-0.004490	-0.025715
0.235000	1.534580	1.354535	13.742475	-0.003159	-0.001502	2.407722	-0.268810	555.773216	-0.004668	-0.024346
0.240000	0.599410	0.577212	5.412382	-0.004297	-0.000534	1.863041	-0.425510	551.988182	-0.004791	-0.024681
0.245000	-1.115386	-0.744396	-10.207037	0.000000	0.000000	-0.082327	-2.148987	534.101463	-0.004890	-0.026856
0.250000	0.599410	0.499321	4.717220	-0.004930	-0.000249	1.318638	-0.816906	546.141914	-0.004716	-0.025103
0.255000	-0.258307	-0.122537	-0.488201	0.000000	0.000000	0.306971	-1.522182	539.264656	-0.004519	-0.025746
0.260000	-0.023718	0.110501	1.594126	-0.044362	-0.174913	1.240946	-0.660202	546.487144	-0.004600	-0.024919
0.265000	0.521320	0.421431	5.064801	-0.016262	-0.018766	1.941290	-0.033398	553.710030	-0.004669	-0.023081
0.270000	0.209597	0.188392	2.981291	-0.066155	-0.094248	1.785904	-0.425270	551.646072	-0.004682	-0.023495
0.275000	-1.270930	-0.900177	-12.289364	0.000000	0.000000	0.696264	-1.365479	539.265053	-0.004535	-0.025050
0.280000	0.287368	0.266283	2.286920	-0.086930	-0.040116	2.019260	-0.033154	549.584053	-0.004492	-0.023944
0.285000	-1.037297	-0.666821	-8.471897	0.000000	0.000000	0.929897	-0.738434	542.364281	-0.004182	-0.024061
0.290000	-0.102127	-0.122221	-0.835385	0.000000	0.000000	1.785904	0.045074	546.148918	-0.004073	-0.024097
0.295000	-0.647483	-0.511040	-6.389571	0.000000	0.000000	1.941568	0.045074	546.837029	-0.004074	-0.023721
0.300000	-0.102127	-0.122221	-0.141804	0.000000	0.000000	1.863874	-0.268566	545.461578	-0.004082	-0.023075
0.305000	0.443548	0.421747	3.676452	0.011133	0.026173	2.019814	-0.033398	546.496849	-0.003749	-0.022867
0.310000	-0.335760	-0.200111	-1.876943	0.000000	0.000000	1.163809	-0.738434	537.555214	-0.003562	-0.023925
0.315000	-0.647483	-0.588931	-5.695199	0.000000	0.000000	0.852762	-0.895134	536.179787	-0.003560	-0.023627
0.320000	0.287368	0.343857	2.634500	-0.052372	0.000811	1.397442	-0.425270	539.276680	-0.003447	-0.023334
0.325000	-0.179898	-0.200111	-2.571315	0.000000	0.000000	2.020649	-0.033398	543.408867	-0.002998	-0.022475
0.330000	-0.959206	-0.588931	-7.431523	0.000000	0.000000	2.253725	-0.112106	545.811447	-0.003543	-0.022199
0.335000	-1.192840	-1.288680	-9.167058	0.000000	0.000000	1.864429	-0.817146	541.685852	-0.003337	-0.021993
0.340000	-0.258307	-0.044646	-1.182966	0.000000	0.000000	2.409389	-0.425510	543.752136	-0.003122	-0.021923
0.345000	1.223175	0.966032	12.005362	-0.028367	-0.024911	3.810631	0.828102	554.416374	-0.002999	-0.020697
0.350000	-0.413850	-0.199794	-4.652458	0.000000	0.000000	3.110287	0.279522	545.818031	-0.002916	-0.021522
0.355000	-1.504881	-1.444145	-11.595386	0.000000	0.000000	1.787016	-0.895618	536.876434	-0.002696	-0.022892
0.360000	-0.257988	-0.122221	-2.571315	0.000000	0.000000	3.499027	0.671158	549.600349	-0.003017	-0.021562
0.365000	-0.569712	-0.588614	-2.918895	0.000000	0.000000	3.421335	0.122341	545.822304	-0.002488	-0.021515
0.370000	0.209278	0.266283	2.288497	0.019957	-0.123244	3.421335	0.200813	546.508095	-0.002704	-0.021492
0.375000	-1.193158	-1.288680	-10.205853	0.000000	0.000000	1.475689	-1.679367	529.313759	-0.002274	-0.022830
0.380000	0.287368	0.344173	3.328872	-0.041489	-0.056723	3.110287	-0.268810	543.413528	-0.002599	-0.021422
0.385000	1.924074	1.821246	18.948290	-0.005939	-0.006698	4.433283	0.906334	554.077751	-0.002482	-0.020542
0.390000	-0.024037	0.033245	0.204593	0.249669	0.513156	2.721272	-0.347038	541.013268	-0.001818	-0.021688
0.395000	0.755271	0.810567	6.800731	-0.003914	-0.001196	3.811188	0.514938	549.266762	-0.002046	-0.020706
0.400000	-0.102127	-0.044330	-1.876943	0.000000	0.000000	3.343920	0.436466	548.572823	-0.002688	-0.020039
0.405000	1.456490	1.432426	12.699733	-0.008073	-0.009287	4.588943	1.376919	557.515991	-0.002686	-0.019076
0.410000	0.755590	0.499638	6.453150	-0.013551	-0.015012	3.499306	0.593410	547.546074	-0.002151	-0.020256
0.415000	-1.739151	-1.366254	-14.372084	0.000000	0.000000	1.631351	-0.895134	534.817909	-0.002251	-0.021564
0.420000	0.131506	0.033245	1.941706	-0.069506	-0.191954	3.187979	0.750351	549.609657	-0.002129	-0.020187
0.425000	-0.335760	-0.122221	-3.959664	0.000000	0.000000	2.798685	0.436951	547.546074	-0.002123	-0.020250
0.430000	-0.335760	-0.200111	-2.917712	0.000000	0.000000	2.331696	0.202019	544.449188	-0.002230	-0.020531
0.435000	-1.349020	-1.132898	-12.636154	0.000000	0.000000	1.553659	-0.816422	536.882248	-0.002237	-0.020778
0.440000	0.754953	0.577212	7.147128	-0.029226	-0.013839	2.409666	0.045559	543.420502	-0.001906	-0.020390
0.445000	-1.037297	-0.822287	-8.471504	0.000000	0.000000	0.619684	-1.364513	528.975914	-0.001671	-0.021605
0.450000	0.677181	0.421747	6.800731	-0.003661	0.000062	2.176590	0.124031	543.077606	-0.001787	-0.020232
0.455000	2.002164	1.665464	16.170409	-0.007061	0.004178	3.966572	1.691048	555.462898	-0.001589	-0.019159
0.460000	0.521320	0.343857	5.758779	-0.035391	-0.016265	2.176311	0.045559	542.389503	-0.001790	-0.020603
0.465000	0.443548	0.577212	2.981291	0.054535	0.095252	2.643578	0.437431	544.110947	-0.001691	-0.019684
0.470000	0.287368	0.266283	3.328872	-0.041489	-0.056208	2.487637	0.202263	544.111328	-0.001685	-0.019326
