BioWare Version 5.3.0.7 Export
Device:	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA
Samples (#):	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	5995	5995	5995	5995	5995	5999	5999	5999	5999	5999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	29.975000	29.975000	29.975000	29.975000	29.975000	29.995001	29.995001	29.995001	29.995001	29.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Nov 11, 2022  11:09:25
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Ax	Ay	Fx	Fy	Fz	Ax	Ay
	N	N	N	m	m	N	N	N	m	m
0.000000	0.259392	0.242014	4.247276	-0.043374	-0.072501	1.769119	0.348412	549.453934	-0.013417	-0.040444
0.005000	0.259392	0.319905	1.469394	-0.042533	0.049399	1.691425	0.505356	548.079269	-0.013229	-0.041590
0.010000	-0.675778	-0.379844	-3.736421	0.000000	0.000000	0.912836	-0.121456	542.580154	-0.012894	-0.041986
0.015000	1.039018	0.708408	8.411532	-0.009469	-0.037841	1.769396	0.818756	548.424484	-0.013114	-0.041403
0.020000	0.103530	0.164440	2.510163	-0.047737	-0.007843	1.536041	0.583824	546.706139	-0.013037	-0.041349
0.025000	0.259392	0.164440	2.857743	-0.064415	-0.040336	1.535765	0.505356	544.987404	-0.012970	-0.040957
0.030000	-0.285965	-0.224697	-2.348468	0.000000	0.000000	1.302410	0.348652	544.985466	-0.013181	-0.041296
0.035000	-0.052013	-0.224697	1.121814	-0.212269	-0.180232	1.224440	0.348652	544.638702	-0.013518	-0.040109
0.040000	0.493662	0.397162	2.857743	-0.023649	0.024767	1.769396	1.210873	549.801094	-0.013079	-0.040281
0.045000	-0.129785	-0.069232	-1.654490	0.000000	0.000000	0.757729	0.584064	541.551468	-0.012579	-0.041921
0.050000	0.103848	0.241380	2.511346	0.000642	-0.008383	0.991362	0.819241	543.268280	-0.012880	-0.041623
0.055000	-0.753550	-0.613516	-5.819537	0.000000	0.000000	0.680037	0.427361	542.237656	-0.012781	-0.041163
0.060000	-0.675778	-0.302588	-4.084001	0.000000	0.000000	0.991640	0.427361	540.515038	-0.013171	-0.041118
0.065000	-0.441508	-0.380161	-3.737211	0.000000	0.000000	0.991362	0.427361	542.236496	-0.013016	-0.040115
0.070000	0.181620	0.242014	2.511346	-0.000039	-0.008389	1.302689	0.975941	544.990105	-0.012739	-0.040281
0.075000	0.103530	0.008658	2.857743	-0.020646	0.027758	1.302410	1.132645	545.679771	-0.012502	-0.040584
0.080000	1.038700	0.863873	7.370371	-0.002516	0.021135	1.458349	1.524273	547.059875	-0.012035	-0.040497
0.085000	-0.364692	-0.146806	-2.002071	0.000000	0.000000	0.680037	0.662777	539.831581	-0.012729	-0.040480
0.090000	-0.286283	-0.224380	-0.265352	0.000000	0.000000	0.991640	0.819241	541.212074	-0.012263	-0.040032
0.095000	-0.208194	0.008658	-3.042049	0.000000	0.000000	1.536320	1.054413	544.994759	-0.012306	-0.039589
0.100000	0.259392	0.164440	2.858927	-0.021909	-0.040206	1.769953	1.210873	545.341927	-0.011977	-0.039397
0.105000	0.181620	0.164440	0.776600	0.077842	-0.147453	1.925615	1.367332	546.029655	-0.011967	-0.039700
0.110000	0.103530	0.242014	2.162582	-0.027282	0.034307	1.380657	1.054173	541.905991	-0.011596	-0.040340
0.115000	0.259392	0.397162	1.816185	-0.000996	-0.013479	1.692261	1.210873	541.220215	-0.011402	-0.040398
0.120000	-0.130104	-0.147123	-0.612932	0.000000	0.000000	2.081556	1.524033	544.660004	-0.011342	-0.039461
0.125000	-0.208194	0.008342	-1.306910	0.000000	0.000000	2.237219	1.445564	545.005623	-0.011230	-0.038911
0.130000	-0.364055	-0.380161	-3.043233	0.000000	0.000000	2.470297	1.680492	546.722420	-0.011533	-0.038279
0.135000	0.882838	0.863873	9.451907	-0.027326	-0.023994	3.093502	2.307301	551.201363	-0.010695	-0.038163
0.140000	0.103530	0.242014	1.123391	0.109364	-0.188346	2.237219	1.758965	543.290382	-0.010713	-0.039918
0.145000	0.025440	0.008658	1.121814	0.003098	0.156014	2.548267	1.915424	544.668938	-0.010476	-0.039127
0.150000	0.259073	0.552943	4.592883	-0.000362	-0.006124	2.392883	1.837196	544.672813	-0.010028	-0.039472
0.155000	0.804748	0.708724	6.676393	-0.002037	-0.004742	3.716154	2.777168	551.550850	-0.010167	-0.037644
0.160000	0.181302	0.242331	2.163766	-0.028154	-0.053915	3.637905	2.698696	552.581863	-0.010253	-0.037057
0.165000	0.259073	0.242331	3.552114	-0.017612	-0.032873	3.482243	2.541992	550.175011	-0.010184	-0.037729
0.170000	0.259392	0.242331	2.857743	-0.021845	0.025959	3.093225	2.306816	547.427597	-0.009783	-0.037909
0.175000	1.116471	1.330583	10.493859	0.003867	0.004757	3.793846	3.090324	550.526054	-0.009425	-0.038242
0.180000	-0.208194	-0.146489	-2.347282	0.000000	0.000000	2.237219	1.836952	539.178749	-0.009236	-0.038821
0.185000	-0.130422	-0.146806	-2.349652	0.000000	0.000000	2.704206	1.915424	540.897095	-0.009335	-0.039226
0.190000	0.181302	-0.068915	0.776600	0.077851	-0.140842	3.793846	2.620224	550.181618	-0.009540	-0.037044
0.195000	0.415253	0.319905	5.635625	-0.011698	-0.021042	4.338526	3.168556	556.030571	-0.009347	-0.036163
0.200000	-0.364055	-0.302270	-3.043233	0.000000	0.000000	2.781898	1.758484	542.273323	-0.009313	-0.038074
0.205000	0.025440	0.086233	2.163766	-0.026569	-0.052328	2.548267	1.758724	541.591415	-0.008650	-0.038821
0.210000	-0.520235	-0.379844	-4.777979	0.000000	0.000000	2.782177	1.915424	542.622414	-0.008752	-0.038578
0.215000	-0.831958	-0.535309	-6.860699	0.000000	0.000000	1.847923	1.053444	534.709877	-0.008964	-0.039646
0.220000	-0.286283	-0.379844	-2.002071	0.000000	0.000000	2.237219	1.445320	538.840118	-0.008684	-0.038654
0.225000	-0.052650	0.008658	0.776600	0.084479	-0.143040	3.482243	2.150116	549.498146	-0.009102	-0.037070
0.230000	-0.208512	-0.146489	0.081439	-0.646103	-3.669503	3.326302	2.071884	549.500084	-0.008877	-0.037411
0.235000	0.103211	0.009293	0.081439	-0.730312	-3.711586	3.093225	1.915424	547.095169	-0.008579	-0.037744
0.240000	-0.598325	-0.301953	-5.819537	0.000000	0.000000	1.769953	0.740284	535.058983	-0.008392	-0.040137
0.245000	0.025440	0.087183	0.081439	-0.709303	-3.732627	2.859869	1.523792	543.659630	-0.008184	-0.038662
0.250000	-0.364055	-0.224380	-3.737211	0.000000	0.000000	2.392883	1.210388	538.500717	-0.008137	-0.039899
0.255000	-0.286283	-0.301953	-1.306910	0.000000	0.000000	2.859869	1.288620	542.971901	-0.008195	-0.038353
0.260000	-0.909411	-0.768031	-6.860699	0.000000	0.000000	3.482243	1.523552	547.785614	-0.008363	-0.037334
0.265000	-0.286283	-0.224063	-2.695652	0.000000	0.000000	3.248888	1.445320	546.066483	-0.008272	-0.037969
0.270000	0.103530	-0.068915	2.163766	-0.027363	-0.050750	3.171196	1.445320	543.318672	-0.007870	-0.038858
0.275000	0.181302	0.164440	1.816975	0.000026	0.094438	3.171473	1.288620	543.320610	-0.007649	-0.039199
0.280000	0.570796	0.552943	4.940464	-0.014037	-0.025040	3.949787	1.602024	546.072693	-0.007638	-0.038666
0.285000	0.493662	0.242331	3.204534	-0.002151	-0.006610	3.950064	1.445320	546.074234	-0.007418	-0.039008
0.290000	0.259392	0.319905	3.204534	-0.000543	-0.007143	4.417053	1.601784	549.512093	-0.007606	-0.038082
0.295000	0.181302	0.242331	3.552904	-0.051328	-0.032927	5.506691	2.306576	556.046867	-0.007661	-0.037488
0.300000	-0.130422	-0.224380	-0.612539	0.000000	0.000000	4.495024	1.445320	548.823982	-0.007619	-0.038468
0.305000	0.259392	0.319905	2.857743	-0.021845	0.025362	3.949787	1.131676	544.010666	-0.007448	-0.039143
0.310000	0.181620	0.319905	1.816185	-0.000054	-0.012544	3.950064	1.053444	541.950974	-0.007034	-0.039638
0.315000	-0.364055	-0.302270	-3.389630	0.000000	0.000000	4.027756	0.896984	542.296204	-0.006922	-0.039431
0.320000	0.103530	0.164440	0.081439	-0.730398	-3.753497	4.495024	1.366848	546.419067	-0.007325	-0.039499
0.325000	-0.364055	-0.224380	-3.736027	0.000000	0.000000	4.806349	1.445080	549.512093	-0.007622	-0.038419
0.330000	-0.286283	-0.068915	-0.959329	0.000000	0.000000	4.728657	1.053444	548.823982	-0.007629	-0.038452
0.335000	-1.065273	-0.691091	-5.473140	0.000000	0.000000	3.561049	0.270180	538.510788	-0.007067	-0.040563
0.340000	-0.130104	-0.146806	-2.002071	0.000000	0.000000	3.950064	0.818756	542.292702	-0.007141	-0.041175
0.345000	0.181302	0.242014	2.163766	-0.028154	-0.053912	4.183975	0.740524	542.978485	-0.007363	-0.041119
0.350000	-0.130104	-0.069232	-2.695652	0.000000	0.000000	4.495302	0.975700	545.385727	-0.007450	-0.040079
0.355000	-0.909730	-0.380161	-6.166328	0.000000	0.000000	3.405663	-0.042740	537.820358	-0.007295	-0.041306
0.360000	0.415253	0.242014	5.287254	-0.000991	-0.040141	4.728657	0.897469	549.509384	-0.007838	-0.039773
0.365000	-0.052332	0.086233	0.776600	0.084470	-0.145238	4.495302	0.662296	548.476433	-0.007954	-0.039667
0.370000	0.181620	0.164440	2.858927	-0.021310	-0.040206	4.261667	0.349373	546.409760	-0.008197	-0.040844
0.375000	0.961246	0.785982	7.022790	-0.011059	0.008814	4.572994	0.897953	549.508614	-0.007832	-0.040807
0.380000	0.415253	0.552627	4.940464	0.011280	0.013656	3.716988	-0.042019	542.628998	-0.007903	-0.041637
0.385000	0.025758	0.086233	1.121814	-0.213794	-0.186330	4.028034	0.114441	546.066475	-0.008083	-0.041381
0.390000	0.025758	0.008342	0.082229	0.778550	0.971362	3.872650	-0.355419	546.064545	-0.008297	-0.041361
0.395000	-0.208194	-0.146806	-2.348468	0.000000	0.000000	3.716988	-0.747295	543.310913	-0.008557	-0.040860
0.400000	-0.052013	-0.224380	-0.959329	0.000000	0.000000	3.561325	-0.825527	543.308594	-0.008773	-0.041552
0.405000	-0.285965	-0.224697	-0.959329	0.000000	0.000000	3.794958	-0.747295	544.682495	-0.008980	-0.041449
0.410000	-0.052013	-0.146806	-0.612932	0.000000	0.000000	3.327692	-0.982227	541.245796	-0.008577	-0.043453
0.415000	-0.987501	-0.613516	-9.290213	0.000000	0.000000	2.938675	-1.373859	537.118271	-0.008631	-0.043772
0.420000	-0.130104	-0.069232	-0.266142	0.000000	0.000000	3.716988	-1.295387	543.991272	-0.009210	-0.042873
0.425000	-0.207875	-0.224697	-0.959329	0.000000	0.000000	3.639294	-1.452091	542.956390	-0.009558	-0.042774
0.430000	-0.285965	-0.224697	-2.695652	0.000000	0.000000	3.483355	-1.687263	542.609215	-0.009891	-0.042966
0.435000	-0.052013	0.086233	1.468604	-0.120821	-0.207268	3.327692	-1.843723	543.639832	-0.009976	-0.043053
0.440000	-0.519598	-0.458052	-4.432372	0.000000	0.000000	2.860704	-1.687023	543.637512	-0.010179	-0.043754
0.445000	-0.364055	-0.224697	-4.084791	0.000000	0.000000	2.004421	-2.391819	536.073685	-0.009846	-0.045404
0.450000	-0.052013	-0.069232	0.081439	-0.688380	-3.690373	2.783010	-1.765011	543.292297	-0.010293	-0.043954
0.455000	-0.909411	-0.613516	-6.861489	0.000000	0.000000	2.160360	-2.470051	539.162445	-0.010574	-0.044613
0.460000	-0.052013	-0.147123	-0.265352	0.000000	0.000000	2.627348	-2.078175	543.290367	-0.010508	-0.043593
0.465000	0.181938	0.241380	2.857743	-0.021249	0.025966	2.549377	-1.999943	544.662331	-0.010919	-0.043484
0.470000	-0.208194	-0.069232	-0.612932	0.000000	0.000000	2.471685	-1.999943	543.628609	-0.011049	-0.044439
0.475000	-1.143045	-1.157801	-8.941842	0.000000	0.000000	1.459740	-2.705219	535.719925	-0.010842	-0.045951
